"BehaviorSpace results (NetLogo 6.0.4)"
"Sugarscape 1 Immediate Growback.nlogo"
"CW2"
"02/13/2019 17:30:32:121 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","visualization","initial-population","[step]","count turtles","mean [vision] of turtles","mean [metabolism] of turtles","mean [sugar] of turtles","mean [psugar] of patches"
"3","color-agents-by-metabolism","50","4","48","3.5416666666666665","2.2291666666666665","16.104166666666668","1.8024"
"7","color-agents-by-metabolism","50","19","37","3.675675675675676","2.1621621621621623","32.24324324324324","1.8032"
"2","color-agents-by-metabolism","50","10","37","3.027027027027027","2.027027027027027","24.135135135135137","1.808"
"1","color-agents-by-metabolism","50","20","34","3.2941176470588234","2.1470588235294117","29.705882352941178","1.8088"
"6","color-agents-by-metabolism","50","20","32","3.78125","2.34375","30.03125","1.8088"
"8","color-agents-by-metabolism","50","12","40","3.5","1.95","26.975","1.8024"
"3","color-agents-by-metabolism","50","5","48","3.5416666666666665","2.2291666666666665","16.291666666666668","1.8024"
"4","color-agents-by-metabolism","50","20","31","3.225806451612903","1.6451612903225807","36.96774193548387","1.814"
"6","color-agents-by-metabolism","50","21","32","3.78125","2.34375","30.8125","1.8088"
"1","color-agents-by-metabolism","50","21","33","3.272727272727273","2.121212121212121","31.363636363636363","1.8096"
"8","color-agents-by-metabolism","50","13","40","3.5","1.95","27.9","1.8028"
"6","color-agents-by-metabolism","50","22","32","3.78125","2.34375","31.59375","1.8088"
"7","color-agents-by-metabolism","50","20","37","3.675675675675676","2.1621621621621623","33.108108108108105","1.804"
"4","color-agents-by-metabolism","50","21","31","3.225806451612903","1.6451612903225807","38.03225806451613","1.8152"
"3","color-agents-by-metabolism","50","6","46","3.5652173913043477","2.152173913043478","17.23913043478261","1.8024"
"2","color-agents-by-metabolism","50","11","37","3.027027027027027","2.027027027027027","24.864864864864863","1.808"
"1","color-agents-by-metabolism","50","22","32","3.1875","2.09375","33.15625","1.8104"
"4","color-agents-by-metabolism","50","22","30","3.2666666666666666","1.6","40.4","1.8152"
"7","color-agents-by-metabolism","50","21","36","3.75","2.1944444444444446","34.916666666666664","1.804"
"8","color-agents-by-metabolism","50","14","40","3.5","1.95","28.825","1.8028"
"6","color-agents-by-metabolism","50","23","31","3.806451612903226","2.2903225806451615","33.41935483870968","1.8088"
"5","color-agents-by-metabolism","50","15","37","3.6486486486486487","2.324324324324324","24.35135135135135","1.806"
"3","color-agents-by-metabolism","50","7","45","3.5555555555555554","2.1333333333333333","17.933333333333334","1.8036"
