[run number],visualization,initial-population,[step],count turtles,mean [vision] of turtles,mean [metabolism] of turtles,mean [sugar] of turtles,mean [psugar] of patches
6,color-agents-by-metabolism,50,21,32,3.78125,2.34375,30.8125,1.8088
1,color-agents-by-metabolism,50,21,33,3.27272727272727,2.12121212121212,31.3636363636364,1.8096
8,color-agents-by-metabolism,50,13,40,3.5,1.95,27.9,1.8028
6,color-agents-by-metabolism,50,22,32,3.78125,2.34375,31.59375,1.8088
7,color-agents-by-metabolism,50,20,37,3.67567567567568,2.16216216216216,33.1081081081081,1.804
4,color-agents-by-metabolism,50,21,31,3.2258064516129,1.64516129032258,38.0322580645161,1.8152
3,color-agents-by-metabolism,50,6,46,3.56521739130435,2.15217391304348,17.2391304347826,1.8024
2,color-agents-by-metabolism,50,11,37,3.02702702702703,2.02702702702703,24.8648648648649,1.808
1,color-agents-by-metabolism,50,22,32,3.1875,2.09375,33.15625,1.8104
4,color-agents-by-metabolism,50,22,30,3.26666666666667,1.6,40.4,1.8152
7,color-agents-by-metabolism,50,21,36,3.75,2.19444444444444,34.9166666666667,1.804
8,color-agents-by-metabolism,50,14,40,3.5,1.95,28.825,1.8028
6,color-agents-by-metabolism,50,23,31,3.80645161290323,2.29032258064516,33.4193548387097,1.8088
5,color-agents-by-metabolism,50,15,37,3.64864864864865,2.32432432432432,24.3513513513513,1.806
3,color-agents-by-metabolism,50,7,45,3.55555555555556,2.13333333333333,17.9333333333333,1.8036
7,color-agents-by-metabolism,50,22,36,3.75,2.19444444444444,35.8333333333333,1.804
1,color-agents-by-metabolism,50,23,32,3.1875,2.09375,34,1.8112
4,color-agents-by-metabolism,50,23,29,3.27586206896552,1.55172413793103,42.9655172413793,1.816
2,color-agents-by-metabolism,50,12,36,3.02777777777778,1.97222222222222,26.3333333333333,1.808
6,color-agents-by-metabolism,50,24,30,3.73333333333333,2.23333333333333,35.4,1.81
8,color-agents-by-metabolism,50,15,40,3.5,1.95,29.75,1.8028
3,color-agents-by-metabolism,50,8,42,3.54761904761905,2.07142857142857,19.6666666666667,1.8044
7,color-agents-by-metabolism,50,23,35,3.82857142857143,2.14285714285714,37.8,1.804
5,color-agents-by-metabolism,50,16,37,3.64864864864865,2.32432432432432,24.9189189189189,1.806
1,color-agents-by-metabolism,50,24,32,3.1875,2.09375,34.84375,1.8112
7,color-agents-by-metabolism,50,24,35,3.82857142857143,2.14285714285714,38.7714285714286,1.8052
4,color-agents-by-metabolism,50,24,28,3.32142857142857,1.5,45.75,1.8168
8,color-agents-by-metabolism,50,16,40,3.5,1.95,30.675,1.8028
2,color-agents-by-metabolism,50,13,36,3.02777777777778,1.97222222222222,27.1388888888889,1.8088
1,color-agents-by-metabolism,50,25,30,3.13333333333333,2,38.0666666666667,1.8112
6,color-agents-by-metabolism,50,25,29,3.68965517241379,2.17241379310345,37.551724137931,1.8112
