"BehaviorSpace results (NetLogo 6.0.4)"
"Sugarscape 1 Immediate Growback.nlogo"
"CW2"
"02/11/2019 11:56:07:966 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","visualization","initial-population","[step]","count turtles","mean [vision] of turtles","mean [metabolism] of turtles"
"3","color-agents-by-metabolism","50","25","36","3.5555555555555554","1.9444444444444444"
"5","color-agents-by-metabolism","50","13","40","3.525","2.1"
"8","color-agents-by-metabolism","50","26","31","3.5161290322580645","2"
"4","color-agents-by-metabolism","50","13","42","3.8095238095238093","2.3333333333333335"
"7","color-agents-by-metabolism","50","6","46","3.5434782608695654","2.347826086956522"
"2","color-agents-by-metabolism","50","14","42","3.261904761904762","2.142857142857143"
"3","color-agents-by-metabolism","50","26","36","3.5555555555555554","1.9444444444444444"
"5","color-agents-by-metabolism","50","14","40","3.525","2.1"
"4","color-agents-by-metabolism","50","14","40","3.9","2.275"
"8","color-agents-by-metabolism","50","27","31","3.5161290322580645","2"
"2","color-agents-by-metabolism","50","15","41","3.317073170731707","2.1219512195121952"
"3","color-agents-by-metabolism","50","27","36","3.5555555555555554","1.9444444444444444"
"6","color-agents-by-metabolism","50","18","34","3.911764705882353","2.1176470588235294"
"4","color-agents-by-metabolism","50","15","39","3.8461538461538463","2.2564102564102564"
"7","color-agents-by-metabolism","50","7","42","3.5952380952380953","2.238095238095238"
"5","color-agents-by-metabolism","50","15","40","3.525","2.1"
"8","color-agents-by-metabolism","50","28","31","3.5161290322580645","2"
"3","color-agents-by-metabolism","50","28","36","3.5555555555555554","1.9444444444444444"
"2","color-agents-by-metabolism","50","16","41","3.317073170731707","2.1219512195121952"
"1","color-agents-by-metabolism","50","30","30","3.7","2.2666666666666666"
"3","color-agents-by-metabolism","50","29","36","3.5555555555555554","1.9444444444444444"
"4","color-agents-by-metabolism","50","16","38","3.8421052631578947","2.236842105263158"
"7","color-agents-by-metabolism","50","8","40","3.675","2.2"
"5","color-agents-by-metabolism","50","16","40","3.525","2.1"
"8","color-agents-by-metabolism","50","29","31","3.5161290322580645","2"
"1","color-agents-by-metabolism","50","31","30","3.7","2.2666666666666666"
"7","color-agents-by-metabolism","50","9","39","3.6666666666666665","2.1538461538461537"
"5","color-agents-by-metabolism","50","17","39","3.58974358974359","2.076923076923077"
"2","color-agents-by-metabolism","50","17","40","3.325","2.075"
"1","color-agents-by-metabolism","50","32","30","3.7","2.2666666666666666"
"7","color-agents-by-metabolism","50","10","39","3.6666666666666665","2.1538461538461537"
"5","color-agents-by-metabolism","50","18","37","3.6216216216216215","2"
"2","color-agents-by-metabolism","50","18","40","3.325","2.075"
"8","color-agents-by-metabolism","50","30","31","3.5161290322580645","2"
"1","color-agents-by-metabolism","50","33","30","3.7","2.2666666666666666"
"5","color-agents-by-metabolism","50","19","37","3.6216216216216215","2"
"7","color-agents-by-metabolism","50","11","38","3.6842105263157894","2.1052631578947367"
"2","color-agents-by-metabolism","50","19","39","3.3846153846153846","2.051282051282051"
"6","color-agents-by-metabolism","50","19","34","3.911764705882353","2.1176470588235294"
"1","color-agents-by-metabolism","50","34","30","3.7","2.2666666666666666"
"5","color-agents-by-metabolism","50","20","37","3.6216216216216215","2"
"7","color-agents-by-metabolism","50","12","38","3.6842105263157894","2.1052631578947367"
"2","color-agents-by-metabolism","50","20","37","3.3783783783783785","1.945945945945946"
"1","color-agents-by-metabolism","50","35","30","3.7","2.2666666666666666"
"5","color-agents-by-metabolism","50","21","37","3.6216216216216215","2"
"6","color-agents-by-metabolism","50","20","33","3.909090909090909","2.090909090909091"
"7","color-agents-by-metabolism","50","13","37","3.675675675675676","2.135135135135135"
"2","color-agents-by-metabolism","50","21","37","3.3783783783783785","1.945945945945946"
"1","color-agents-by-metabolism","50","36","30","3.7","2.2666666666666666"
"5","color-agents-by-metabolism","50","22","37","3.6216216216216215","2"
"3","color-agents-by-metabolism","50","30","36","3.5555555555555554","1.9444444444444444"
"6","color-agents-by-metabolism","50","21","33","3.909090909090909","2.090909090909091"
"7","color-agents-by-metabolism","50","14","37","3.675675675675676","2.135135135135135"
"1","color-agents-by-metabolism","50","37","30","3.7","2.2666666666666666"
"8","color-agents-by-metabolism","50","31","31","3.5161290322580645","2"
"5","color-agents-by-metabolism","50","23","34","3.764705882352941","1.9411764705882353"
"5","color-agents-by-metabolism","50","24","34","3.764705882352941","1.9411764705882353"
"7","color-agents-by-metabolism","50","15","36","3.6944444444444446","2.0833333333333335"
"6","color-agents-by-metabolism","50","22","33","3.909090909090909","2.090909090909091"
"8","color-agents-by-metabolism","50","32","31","3.5161290322580645","2"
"1","color-agents-by-metabolism","50","38","30","3.7","2.2666666666666666"
"5","color-agents-by-metabolism","50","25","33","3.8181818181818183","1.878787878787879"
"2","color-agents-by-metabolism","50","22","37","3.3783783783783785","1.945945945945946"
"8","color-agents-by-metabolism","50","33","31","3.5161290322580645","2"
"1","color-agents-by-metabolism","50","39","30","3.7","2.2666666666666666"
"8","color-agents-by-metabolism","50","34","31","3.5161290322580645","2"
"6","color-agents-by-metabolism","50","23","32","3.9375","2.0625"
"3","color-agents-by-metabolism","50","31","36","3.5555555555555554","1.9444444444444444"
"4","color-agents-by-metabolism","50","17","37","3.864864864864865","2.2162162162162162"
"6","color-agents-by-metabolism","50","24","32","3.9375","2.0625"
"7","color-agents-by-metabolism","50","16","35","3.6857142857142855","2.0285714285714285"
"1","color-agents-by-metabolism","50","40","30","3.7","2.2666666666666666"
"8","color-agents-by-metabolism","50","35","31","3.5161290322580645","2"
"3","color-agents-by-metabolism","50","32","36","3.5555555555555554","1.9444444444444444"
"6","color-agents-by-metabolism","50","25","32","3.9375","2.0625"
"4","color-agents-by-metabolism","50","18","36","3.888888888888889","2.2222222222222223"
"2","color-agents-by-metabolism","50","23","37","3.3783783783783785","1.945945945945946"
"8","color-agents-by-metabolism","50","36","31","3.5161290322580645","2"
