"BehaviorSpace results (NetLogo 6.0.4)"
"Sugarscape 1 Immediate Growback.nlogo"
"CW2"
"02/11/2019 12:11:28:339 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","visualization","initial-population","[step]","count turtles","mean [vision] of turtles","mean [metabolism] of turtles"
"4","color-agents-by-metabolism","50","26","37","3.891891891891892","1.8918918918918919"
"2","color-agents-by-metabolism","50","25","35","4.428571428571429","2.0285714285714285"
"5","color-agents-by-metabolism","50","18","37","3.72972972972973","2.4054054054054053"
"7","color-agents-by-metabolism","50","10","42","4.309523809523809","2.4047619047619047"
"8","color-agents-by-metabolism","50","24","29","3.9310344827586206","1.9655172413793103"
"4","color-agents-by-metabolism","50","27","37","3.891891891891892","1.8918918918918919"
"3","color-agents-by-metabolism","50","31","34","4.176470588235294","2"
"2","color-agents-by-metabolism","50","26","35","4.428571428571429","2.0285714285714285"
"7","color-agents-by-metabolism","50","11","42","4.309523809523809","2.4047619047619047"
"1","color-agents-by-metabolism","50","25","30","3.933333333333333","2"
"4","color-agents-by-metabolism","50","28","37","3.891891891891892","1.8918918918918919"
"5","color-agents-by-metabolism","50","19","36","3.7222222222222223","2.4166666666666665"
"3","color-agents-by-metabolism","50","32","34","4.176470588235294","2"
"8","color-agents-by-metabolism","50","25","28","3.9285714285714284","1.9285714285714286"
"2","color-agents-by-metabolism","50","27","35","4.428571428571429","2.0285714285714285"
"6","color-agents-by-metabolism","50","19","26","4.1923076923076925","1.9615384615384615"
"7","color-agents-by-metabolism","50","12","40","4.225","2.375"
"4","color-agents-by-metabolism","50","29","37","3.891891891891892","1.8918918918918919"
"6","color-agents-by-metabolism","50","20","26","4.1923076923076925","1.9615384615384615"
"2","color-agents-by-metabolism","50","28","35","4.428571428571429","2.0285714285714285"
"1","color-agents-by-metabolism","50","26","30","3.933333333333333","2"
"8","color-agents-by-metabolism","50","26","28","3.9285714285714284","1.9285714285714286"
"7","color-agents-by-metabolism","50","13","40","4.225","2.375"
"2","color-agents-by-metabolism","50","29","35","4.428571428571429","2.0285714285714285"
"6","color-agents-by-metabolism","50","21","26","4.1923076923076925","1.9615384615384615"
"8","color-agents-by-metabolism","50","27","28","3.9285714285714284","1.9285714285714286"
"1","color-agents-by-metabolism","50","27","30","3.933333333333333","2"
"7","color-agents-by-metabolism","50","14","40","4.225","2.375"
"6","color-agents-by-metabolism","50","22","26","4.1923076923076925","1.9615384615384615"
"8","color-agents-by-metabolism","50","28","28","3.9285714285714284","1.9285714285714286"
"6","color-agents-by-metabolism","50","23","26","4.1923076923076925","1.9615384615384615"
"7","color-agents-by-metabolism","50","15","39","4.282051282051282","2.3333333333333335"
"1","color-agents-by-metabolism","50","28","30","3.933333333333333","2"
"8","color-agents-by-metabolism","50","29","28","3.9285714285714284","1.9285714285714286"
"6","color-agents-by-metabolism","50","24","26","4.1923076923076925","1.9615384615384615"
"7","color-agents-by-metabolism","50","16","39","4.282051282051282","2.3333333333333335"
"1","color-agents-by-metabolism","50","29","30","3.933333333333333","2"
"8","color-agents-by-metabolism","50","30","28","3.9285714285714284","1.9285714285714286"
"6","color-agents-by-metabolism","50","25","26","4.1923076923076925","1.9615384615384615"
"5","color-agents-by-metabolism","50","20","35","3.8","2.3714285714285714"
"7","color-agents-by-metabolism","50","17","38","4.368421052631579","2.3157894736842106"
"8","color-agents-by-metabolism","50","31","28","3.9285714285714284","1.9285714285714286"
"1","color-agents-by-metabolism","50","30","30","3.933333333333333","2"
"6","color-agents-by-metabolism","50","26","26","4.1923076923076925","1.9615384615384615"
"5","color-agents-by-metabolism","50","21","34","3.735294117647059","2.323529411764706"
"8","color-agents-by-metabolism","50","32","28","3.9285714285714284","1.9285714285714286"
"7","color-agents-by-metabolism","50","18","38","4.368421052631579","2.3157894736842106"
"4","color-agents-by-metabolism","50","30","37","3.891891891891892","1.8918918918918919"
"6","color-agents-by-metabolism","50","27","26","4.1923076923076925","1.9615384615384615"
"1","color-agents-by-metabolism","50","31","30","3.933333333333333","2"
"8","color-agents-by-metabolism","50","33","28","3.9285714285714284","1.9285714285714286"
"7","color-agents-by-metabolism","50","19","38","4.368421052631579","2.3157894736842106"
"4","color-agents-by-metabolism","50","31","37","3.891891891891892","1.8918918918918919"
"6","color-agents-by-metabolism","50","28","26","4.1923076923076925","1.9615384615384615"
"5","color-agents-by-metabolism","50","22","33","3.727272727272727","2.3333333333333335"
"1","color-agents-by-metabolism","50","32","30","3.933333333333333","2"
"3","color-agents-by-metabolism","50","33","34","4.176470588235294","2"
"8","color-agents-by-metabolism","50","34","28","3.9285714285714284","1.9285714285714286"
"4","color-agents-by-metabolism","50","32","37","3.891891891891892","1.8918918918918919"
"6","color-agents-by-metabolism","50","29","26","4.1923076923076925","1.9615384615384615"
"5","color-agents-by-metabolism","50","23","33","3.727272727272727","2.3333333333333335"
"8","color-agents-by-metabolism","50","35","28","3.9285714285714284","1.9285714285714286"
"1","color-agents-by-metabolism","50","33","30","3.933333333333333","2"
"4","color-agents-by-metabolism","50","33","37","3.891891891891892","1.8918918918918919"
"6","color-agents-by-metabolism","50","30","26","4.1923076923076925","1.9615384615384615"
"2","color-agents-by-metabolism","50","30","35","4.428571428571429","2.0285714285714285"
"5","color-agents-by-metabolism","50","24","33","3.727272727272727","2.3333333333333335"
"1","color-agents-by-metabolism","50","34","30","3.933333333333333","2"
"6","color-agents-by-metabolism","50","31","26","4.1923076923076925","1.9615384615384615"
"2","color-agents-by-metabolism","50","31","35","4.428571428571429","2.0285714285714285"
"4","color-agents-by-metabolism","50","34","37","3.891891891891892","1.8918918918918919"
"5","color-agents-by-metabolism","50","25","33","3.727272727272727","2.3333333333333335"
"3","color-agents-by-metabolism","50","34","34","4.176470588235294","2"
"6","color-agents-by-metabolism","50","32","26","4.1923076923076925","1.9615384615384615"
"2","color-agents-by-metabolism","50","32","35","4.428571428571429","2.0285714285714285"
"4","color-agents-by-metabolism","50","35","37","3.891891891891892","1.8918918918918919"
"5","color-agents-by-metabolism","50","26","33","3.727272727272727","2.3333333333333335"
"3","color-agents-by-metabolism","50","35","34","4.176470588235294","2"
"6","color-agents-by-metabolism","50","33","26","4.1923076923076925","1.9615384615384615"
"2","color-agents-by-metabolism","50","33","35","4.428571428571429","2.0285714285714285"
"4","color-agents-by-metabolism","50","36","37","3.891891891891892","1.8918918918918919"
"5","color-agents-by-metabolism","50","27","33","3.727272727272727","2.3333333333333335"
