"initial-population","50",,,"50",,,"50",,,"50",,,"50",,,"50",,,"50",,,"50",,,"50",,,"50",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,
"[reporter]","count turtles","mean [vision] of turtles","mean [metabolism] of turtles","count turtles","mean [vision] of turtles","mean [metabolism] of turtles","count turtles","mean [vision] of turtles","mean [metabolism] of turtles","count turtles","mean [vision] of turtles","mean [metabolism] of turtles","count turtles","mean [vision] of turtles","mean [metabolism] of turtles","count turtles","mean [vision] of turtles","mean [metabolism] of turtles","count turtles","mean [vision] of turtles","mean [metabolism] of turtles","count turtles","mean [vision] of turtles","mean [metabolism] of turtles","count turtles","mean [vision] of turtles","mean [metabolism] of turtles","count turtles","mean [vision] of turtles","mean [metabolism] of turtles","count turtles","mean [vision] of turtles","mean [metabolism] of turtles","count turtles","mean [vision] of turtles","mean [metabolism] of turtles","count turtles","mean [vision] of turtles","mean [metabolism] of turtles","count turtles","mean [vision] of turtles","mean [metabolism] of turtles","count turtles","mean [vision] of turtles","mean [metabolism] of turtles","count turtles","mean [vision] of turtles","mean [metabolism] of turtles","count turtles","mean [vision] of turtles","mean [metabolism] of turtles","count turtles","mean [vision] of turtles","mean [metabolism] of turtles","count turtles","mean [vision] of turtles","mean [metabolism] of turtles","count turtles","mean [vision] of turtles","mean [metabolism] of turtles"
,"42","3.5238095238095237","2.5714285714285716","44","3.2954545454545454","2.159090909090909","47","3.3191489361702127","2.1702127659574466","43","3.7674418604651163","2.3488372093023258","45","3.5555555555555554","2.2444444444444445","40","3.725","2.175","39","3.6666666666666665","2.1538461538461537","41","3.317073170731707","2.317073170731707","39","3.6666666666666665","2.4615384615384617","41","3.8292682926829267","2.268292682926829","88","3.727272727272727","2.4431818181818183","86","3.872093023255814","2.1627906976744184","87","3.574712643678161","2.2528735632183907","85","3.3529411764705883","2.3176470588235296","80","3.6125","2.4875","83","3.3734939759036147","2.2289156626506026","74","4.162162162162162","2.554054054054054","74","3.364864864864865","2.0135135135135136","84","3.9166666666666665","2.380952380952381","88","3.5681818181818183","2.1363636363636362"
,"41","3.4634146341463414","2.5609756097560976","44","3.2954545454545454","2.159090909090909","46","3.260869565217391","2.1739130434782608","43","3.7674418604651163","2.3488372093023258","44","3.6136363636363638","2.227272727272727","40","3.725","2.175","39","3.6666666666666665","2.1538461538461537","41","3.317073170731707","2.317073170731707","39","3.6666666666666665","2.4615384615384617","39","3.8205128205128207","2.1794871794871793","84","3.761904761904762","2.392857142857143","81","3.8518518518518516","2.0617283950617282","84","3.5714285714285716","2.2023809523809526","84","3.369047619047619","2.2976190476190474","78","3.6025641025641026","2.448717948717949","82","3.3780487804878048","2.2195121951219514","73","4.205479452054795","2.547945205479452","73","3.3972602739726026","2","81","3.962962962962963","2.345679012345679","88","3.5681818181818183","2.1363636363636362"
,"39","3.4615384615384617","2.5128205128205128","43","3.302325581395349","2.13953488372093","46","3.260869565217391","2.1739130434782608","43","3.7674418604651163","2.3488372093023258","44","3.6136363636363638","2.227272727272727","40","3.725","2.175","38","3.6842105263157894","2.1052631578947367","40","3.375","2.3","39","3.6666666666666665","2.4615384615384617","38","3.8421052631578947","2.1842105263157894","80","3.775","2.35","81","3.8518518518518516","2.0617283950617282","82","3.5365853658536586","2.1707317073170733","81","3.3703703703703702","2.234567901234568","76","3.6315789473684212","2.4078947368421053","78","3.3846153846153846","2.1794871794871793","72","4.208333333333333","2.5416666666666665","72","3.375","1.9722222222222223","79","3.9746835443037973","2.3417721518987342","87","3.5977011494252875","2.1149425287356323"
,"38","3.4473684210526314","2.473684210526316","42","3.261904761904762","2.142857142857143","45","3.2888888888888888","2.1333333333333333","42","3.8095238095238093","2.3333333333333335","40","3.525","2.1","38","3.736842105263158","2.1842105263157894","38","3.6842105263157894","2.1052631578947367","39","3.3846153846153846","2.2564102564102564","39","3.6666666666666665","2.4615384615384617","37","3.7837837837837838","2.135135135135135","77","3.8181818181818183","2.311688311688312","80","3.825","2.05","81","3.54320987654321","2.1481481481481484","79","3.3544303797468356","2.240506329113924","76","3.6315789473684212","2.4078947368421053","77","3.4155844155844157","2.1818181818181817","70","4.228571428571429","2.5142857142857142","69","3.449275362318841","1.9565217391304348","78","4","2.3205128205128207","85","3.6470588235294117","2.1058823529411765"
,"37","3.4324324324324325","2.4594594594594597","42","3.261904761904762","2.142857142857143","43","3.302325581395349","2.046511627906977","42","3.8095238095238093","2.3333333333333335","40","3.525","2.1","38","3.736842105263158","2.1842105263157894","37","3.675675675675676","2.135135135135135","39","3.3846153846153846","2.2564102564102564","38","3.6315789473684212","2.4210526315789473","37","3.7837837837837838","2.135135135135135","77","3.8181818181818183","2.311688311688312","78","3.8076923076923075","2","80","3.5625","2.1375","79","3.3544303797468356","2.240506329113924","76","3.6315789473684212","2.4078947368421053","72","3.5277777777777777","2.138888888888889","70","4.228571428571429","2.5142857142857142","69","3.449275362318841","1.9565217391304348","78","4","2.3205128205128207","84","3.6666666666666665","2.0833333333333335"
,"37","3.4324324324324325","2.4594594594594597","42","3.261904761904762","2.142857142857143","43","3.302325581395349","2.046511627906977","40","3.9","2.275","40","3.525","2.1","37","3.7567567567567566","2.1621621621621623","37","3.675675675675676","2.135135135135135","37","3.4054054054054053","2.2162162162162162","37","3.5675675675675675","2.3783783783783785","37","3.7837837837837838","2.135135135135135","76","3.8421052631578947","2.289473684210526","77","3.8181818181818183","2","78","3.551282051282051","2.08974358974359","77","3.4155844155844157","2.207792207792208","76","3.6315789473684212","2.4078947368421053","71","3.5492957746478875","2.140845070422535","69","4.246376811594203","2.4927536231884058","67","3.4029850746268657","1.9402985074626866","78","4","2.3205128205128207","83","3.6626506024096384","2.072289156626506"
,"37","3.4324324324324325","2.4594594594594597","41","3.317073170731707","2.1219512195121952","42","3.357142857142857","2","39","3.8461538461538463","2.2564102564102564","40","3.525","2.1","35","3.8857142857142857","2.142857142857143","36","3.6944444444444446","2.0833333333333335","37","3.4054054054054053","2.2162162162162162","37","3.5675675675675675","2.3783783783783785","37","3.7837837837837838","2.135135135135135","76","3.8421052631578947","2.289473684210526","77","3.8181818181818183","2","77","3.5454545454545454","2.064935064935065","76","3.4210526315789473","2.1842105263157894","75","3.6266666666666665","2.4","71","3.5492957746478875","2.140845070422535","67","4.343283582089552","2.462686567164179","67","3.4029850746268657","1.9402985074626866","77","4.025974025974026","2.324675324675325","82","3.6707317073170733","2.0609756097560976"
,"37","3.4324324324324325","2.4594594594594597","41","3.317073170731707","2.1219512195121952","41","3.341463414634146","1.975609756097561","38","3.8421052631578947","2.236842105263158","40","3.525","2.1","34","3.911764705882353","2.1176470588235294","35","3.6857142857142855","2.0285714285714285","37","3.4054054054054053","2.2162162162162162","37","3.5675675675675675","2.3783783783783785","36","3.8055555555555554","2.0833333333333335","76","3.8421052631578947","2.289473684210526","75","3.8133333333333335","1.9866666666666666","74","3.5675675675675675","2.027027027027027","75","3.4133333333333336","2.16","75","3.6266666666666665","2.4","71","3.5492957746478875","2.140845070422535","66","4.348484848484849","2.4545454545454546","66","3.4393939393939394","1.9393939393939394","76","4.065789473684211","2.3289473684210527","79","3.721518987341772","2.037974683544304"
,"36","3.5","2.4166666666666665","40","3.325","2.075","41","3.341463414634146","1.975609756097561","37","3.864864864864865","2.2162162162162162","39","3.58974358974359","2.076923076923077","34","3.911764705882353","2.1176470588235294","34","3.764705882352941","1.9705882352941178","37","3.4054054054054053","2.2162162162162162","37","3.5675675675675675","2.3783783783783785","36","3.8055555555555554","2.0833333333333335","76","3.8421052631578947","2.289473684210526","74","3.8513513513513513","1.972972972972973","73","3.589041095890411","2.0136986301369864","74","3.4324324324324325","2.1621621621621623","74","3.6216216216216215","2.3783783783783785","70","3.557142857142857","2.1142857142857143","66","4.348484848484849","2.4545454545454546","65","3.4","1.9076923076923078","76","4.065789473684211","2.3289473684210527","77","3.727272727272727","2.0259740259740258"
,"36","3.5","2.4166666666666665","40","3.325","2.075","41","3.341463414634146","1.975609756097561","36","3.888888888888889","2.2222222222222223","37","3.6216216216216215","2","34","3.911764705882353","2.1176470588235294","34","3.764705882352941","1.9705882352941178","36","3.4166666666666665","2.1944444444444446","37","3.5675675675675675","2.3783783783783785","36","3.8055555555555554","2.0833333333333335","75","3.88","2.28","73","3.8219178082191783","1.9452054794520548","72","3.611111111111111","2","74","3.4324324324324325","2.1621621621621623","74","3.6216216216216215","2.3783783783783785","69","3.5652173913043477","2.130434782608696","66","4.348484848484849","2.4545454545454546","64","3.4375","1.890625","74","4.081081081081081","2.310810810810811","76","3.75","2"
