[run number],visualization,initial-population,[step],count turtles,mean [vision] of turtles,mean [metabolism] of turtles
7,color-agents-by-metabolism,50,11,35,3.857142857,2.485714286
7,color-agents-by-metabolism,50,12,34,3.911764706,2.470588235
7,color-agents-by-metabolism,50,13,31,3.838709677,2.35483871
7,color-agents-by-metabolism,50,14,30,3.833333333,2.3
7,color-agents-by-metabolism,50,15,28,3.785714286,2.178571429
7,color-agents-by-metabolism,50,16,27,3.740740741,2.111111111
7,color-agents-by-metabolism,50,17,27,3.740740741,2.111111111
7,color-agents-by-metabolism,50,18,27,3.740740741,2.111111111
7,color-agents-by-metabolism,50,19,27,3.740740741,2.111111111
7,color-agents-by-metabolism,50,20,26,3.769230769,2.076923077
7,color-agents-by-metabolism,50,21,26,3.769230769,2.076923077
7,color-agents-by-metabolism,50,22,24,3.958333333,1.916666667
7,color-agents-by-metabolism,50,23,23,4,1.869565217
7,color-agents-by-metabolism,50,24,22,4,1.772727273
7,color-agents-by-metabolism,50,25,22,4,1.772727273
7,color-agents-by-metabolism,50,26,22,4,1.772727273
7,color-agents-by-metabolism,50,27,22,4,1.772727273
8,color-agents-by-metabolism,50,0,50,3.8,2.82
8,color-agents-by-metabolism,50,1,50,3.8,2.82
8,color-agents-by-metabolism,50,2,48,3.8125,2.770833333
8,color-agents-by-metabolism,50,3,48,3.8125,2.770833333
8,color-agents-by-metabolism,50,4,45,3.822222222,2.688888889
8,color-agents-by-metabolism,50,5,43,3.837209302,2.627906977
8,color-agents-by-metabolism,50,6,41,3.902439024,2.585365854
8,color-agents-by-metabolism,50,7,40,3.85,2.55
8,color-agents-by-metabolism,50,8,39,3.897435897,2.512820513
8,color-agents-by-metabolism,50,9,38,3.894736842,2.473684211
8,color-agents-by-metabolism,50,10,36,3.861111111,2.388888889
8,color-agents-by-metabolism,50,11,34,3.970588235,2.352941176
8,color-agents-by-metabolism,50,12,32,3.96875,2.25
8,color-agents-by-metabolism,50,13,31,4,2.258064516
8,color-agents-by-metabolism,50,14,30,3.966666667,2.233333333
8,color-agents-by-metabolism,50,15,30,3.966666667,2.233333333
8,color-agents-by-metabolism,50,16,29,4.068965517,2.24137931
8,color-agents-by-metabolism,50,17,29,4.068965517,2.24137931
8,color-agents-by-metabolism,50,18,29,4.068965517,2.24137931
8,color-agents-by-metabolism,50,19,29,4.068965517,2.24137931
8,color-agents-by-metabolism,50,20,29,4.068965517,2.24137931
8,color-agents-by-metabolism,50,21,28,4.071428571,2.214285714
8,color-agents-by-metabolism,50,22,28,4.071428571,2.214285714
8,color-agents-by-metabolism,50,23,28,4.071428571,2.214285714
8,color-agents-by-metabolism,50,24,28,4.071428571,2.214285714
8,color-agents-by-metabolism,50,25,28,4.071428571,2.214285714
8,color-agents-by-metabolism,50,26,28,4.071428571,2.214285714
8,color-agents-by-metabolism,50,27,28,4.071428571,2.214285714
9,color-agents-by-metabolism,50,0,50,3.36,2.36
9,color-agents-by-metabolism,50,1,50,3.36,2.36
9,color-agents-by-metabolism,50,2,50,3.36,2.36
9,color-agents-by-metabolism,50,3,49,3.408163265,2.346938776
9,color-agents-by-metabolism,50,4,48,3.458333333,2.3125
9,color-agents-by-metabolism,50,5,48,3.458333333,2.3125
9,color-agents-by-metabolism,50,6,47,3.468085106,2.276595745
9,color-agents-by-metabolism,50,7,46,3.5,2.260869565
9,color-agents-by-metabolism,50,8,45,3.466666667,2.222222222
9,color-agents-by-metabolism,50,9,44,3.454545455,2.181818182
9,color-agents-by-metabolism,50,10,43,3.465116279,2.162790698
9,color-agents-by-metabolism,50,11,43,3.465116279,2.162790698
9,color-agents-by-metabolism,50,12,42,3.5,2.142857143
9,color-agents-by-metabolism,50,13,42,3.5,2.142857143
9,color-agents-by-metabolism,50,14,41,3.56097561,2.12195122
9,color-agents-by-metabolism,50,15,41,3.56097561,2.12195122
9,color-agents-by-metabolism,50,16,40,3.6,2.075
9,color-agents-by-metabolism,50,17,40,3.6,2.075
9,color-agents-by-metabolism,50,18,39,3.615384615,2.051282051
9,color-agents-by-metabolism,50,19,38,3.631578947,2.026315789
9,color-agents-by-metabolism,50,20,37,3.594594595,2
9,color-agents-by-metabolism,50,21,37,3.594594595,2
9,color-agents-by-metabolism,50,22,36,3.638888889,2
9,color-agents-by-metabolism,50,23,36,3.638888889,2
9,color-agents-by-metabolism,50,24,36,3.638888889,2
9,color-agents-by-metabolism,50,25,36,3.638888889,2
9,color-agents-by-metabolism,50,26,36,3.638888889,2
9,color-agents-by-metabolism,50,27,36,3.638888889,2
10,color-agents-by-metabolism,50,0,50,3.36,2.44
10,color-agents-by-metabolism,50,1,50,3.36,2.44
10,color-agents-by-metabolism,50,2,50,3.36,2.44
10,color-agents-by-metabolism,50,3,50,3.36,2.44
10,color-agents-by-metabolism,50,4,49,3.408163265,2.428571429
10,color-agents-by-metabolism,50,5,47,3.425531915,2.361702128
10,color-agents-by-metabolism,50,6,46,3.456521739,2.326086957
10,color-agents-by-metabolism,50,7,46,3.456521739,2.326086957
10,color-agents-by-metabolism,50,8,45,3.511111111,2.288888889
10,color-agents-by-metabolism,50,9,43,3.581395349,2.255813953
10,color-agents-by-metabolism,50,10,43,3.581395349,2.255813953
10,color-agents-by-metabolism,50,11,42,3.547619048,2.214285714
10,color-agents-by-metabolism,50,12,41,3.585365854,2.219512195
10,color-agents-by-metabolism,50,13,40,3.55,2.225
10,color-agents-by-metabolism,50,14,40,3.55,2.225
10,color-agents-by-metabolism,50,15,40,3.55,2.225
10,color-agents-by-metabolism,50,16,40,3.55,2.225
10,color-agents-by-metabolism,50,17,40,3.55,2.225
10,color-agents-by-metabolism,50,18,39,3.564102564,2.205128205
10,color-agents-by-metabolism,50,19,39,3.564102564,2.205128205
